collection||الجامع الصغير
book||حرف الألف
hadith|1|إنما الأعمال بالنيات، وإنما لكل امرئ ما نوى: فمن كانت هجرته إلى الله ورسوله فهجرته إلى الله ورسوله، ومن كانت هجرته إلى دنيا يصيبها أو امرأة ينكحها فهجرته إلى ما هاجر إليه
hadith|2|آتي باب الجنة فأستفتح، فيقول الخازن: من أنت؟ فأقول: محمد، فيقول: بك أمرت أن لا أفتح لأحد قبلك
hadith|3|آخر من يدخل الجنة رجل يقال له " جهينة " فيقول أهل الجنة: عند جهينة الخبر اليقين
hadith|4|آخر قرية من قرى الإسلام خرابا المدينة
hadith|5|آخر من يحشر راعيان من مزينة، يريدان المدينة، ينعقان بغنمهما فيجدانها وحوشا، حتى إذا بلغا ثنية ا لوداع خرا على وجوههما
hadith|6|آخر ما أدرك الناس من كلام النبوة الأولى " إذا لم تستح فاصنع ما شئت
hadith|7|آخر ما تكلم به إبراهيم حين ألقي في النار " حسبي الله ونعم الوكيل "
hadith|8|آخر أربعاء في الشهر يوم نحس مستمر
hadith|9|آدم في السماء الدنيا تعرض عليه أعمال ذريته، ويوسف في السماء الثانية، وابنا الخالة يحيى وعيسى في السماء الثالثة، وإدريس في السماء الرابعة، وهارون في السماء الخامسة، وموسى في السماء السادسة، وإبراهيم في السماء السابعة
hadith|10|آفة الظرف الصلف، وآفة الشجاعة البغي، وآفة السماحة المن، وآفة الجمال الخيلاء، وآفة العبادة الفترة، وآفة الحديث الكذب، وآفة العلم النسيان، وآفة الحلم السفه، وآفة الحسب الفخر، وآفة الجود السرف
hadith|11|آفة الدين ثلاثة: فقيه فاجر، وإمام جائر، ومجتهد جاهل
hadith|12|آفة العلم النسيان، وإضاعته أن تحدث به غير أهله
hadith|13|آكل الربا، وموكله، وكاتبه، وشاهداه، إذا لمسوا ذلك، والواشمة، والموشومة للحسن، ولاوي الصدقة، والمرتد أعرابيا بعد الهجرة، ملعونون على لسان محمد يوم القيامة
hadith|14|آكل كما يأكل العبد، وأجلس كما يجلس العبد
hadith|15|آل محمد كل تقي
hadith|16|آل القرآن آل الله
hadith|17|آمروا النساء في بناتهن
hadith|18|آمروا النساء في أنفسهن، فإن الثيب تعرب عن نفسها. وإذن البكر صمتها
hadith|19|آمن شعر أمية بن أبي الصلت وكفر قلبه
hadith|20|آمين خاتم رب العالمين على لسان عباده المؤمنين
hadith|21|آية الكرسي ربع القرآن
hadith|22|آية ما بيننا وبين المنافقين أنهم لا يتضلعون من زمزم
hadith|23|آية العز " الحمد لله الذي لم يتخذ ولدا "
hadith|24|آية الإيمان حب الأنصار، وآية النفاق بغض الأنصار
hadith|25|آية المنافق ثلاث: إذا حدث كذب، وإذا وعد أخلف، وإذا ائتمن خان
hadith|26|آية بيننا وبين المنافقين شهود العشاء والصبح، لا يستطيعونهما
hadith|27|آيتان هما قرآن، وهما يشفيان، وهما مما يحبهما الله، الآيتان من آخر سورة البقرة
hadith|28|ائت المعروف، واجتنب المنكر، وانظر ما يعجب أذنك أن يقول لك القوم إذا قمت من عندهم فأته، وانظر الذي تكره أن يقول لك القوم إذا قمت من عندهم فاجتنبه
hadith|29|ائت حرثك أنى شئت، وأطعمها إذا طعمت، واكسها إذا اكتسيت، ولا تقبح الوجه، ولا تضرب
hadith|30|ائتوا المساجد حسرا ومعصبين، فإن العمائم تيجان المسلمين
hadith|31|ائتوا الدعوة إذا دعيتم
hadith|32|ائتدموا بالزيت، وادهنوا به، فإنه يخرج من شجرة مباركة
hadith|33|ائتدموا ولو بالماء
hadith|34|ائتدموا من هذه الشجرة، يعني الزيت، ومن عرض عليه طيب فليصب منه
hadith|35|ائتزروا كما رأيت الملائكة تأتزر عند ربها إلى أنصاف سوقها
hadith|36|ائذنوا للنساء أن يصلين بالليل في المسجد
hadith|37|ائذنوا للنساء بالليل إلى المساجد
hadith|38|أبى الله أن يجعل لقاتل المؤمن توبة
hadith|39|أبى الله أن يرزق عبده المؤمن إلا من حيث لا يحتسب
hadith|40|أبى الله أن يقبل عمل صاحب بدعة حتى يدع بدعته
hadith|41|أبى الله أن يجعل للبلاء سلطانا على بدن عبده المؤمن
hadith|42|ابتدروا الأذان، ولا تبتدروا الإمامة
hadith|43|ابتغوا الرفعة عند الله: تحلم عمن جهل عليك، وتعطي من حرمك
hadith|44|ابتغوا الخير عند حسان الوجوه
hadith|45|أبد المودة لمن وادك فإنها أثبت
hadith|46|ابدأ بنفسك فتصدق عليها فإن فضل شئ فلأهلك، فإن فضل شئ عن أهلك فلذي قرابتك، فإن فضل عن ذي قرابتك شئ فهكذا وهكذا
hadith|47|ابدأ بمن تعول
hadith|48|ابدؤا بما بدأ الله به
hadith|49|أبردوا بالظهر، فإن شدة الحر من فيح جهنم
hadith|50|أبردوا بالطعام فإن الحار لا بركة فيه
hadith|51|أبشروا وبشروا من وراءكم أنه من شهد أن لا إله إلا الله صادقا بها دخل الجنة
hadith|52|أبعد الناس من الله يوم القيامة القاص الذي يخالف إلى غير ما أمر به
hadith|53|أبغض الحلال إلى الله الطلاق
hadith|54|أبغض الخلق إلى الله من آمن، ثم كفر
hadith|55|أبغض الرجال إلى الله الألد الخصم عن عائشة
hadith|56|أبغض العباد إلى الله من كان ثوباه خيرا من عمله: أن تكون ثيابه ثياب الأنبياء، وعمله عمل الجبارين
hadith|57|أبغض الناس إلى الله ثلاثة: ملحد في الحرم، ومبتغ في الإسلام سنة الجاهلية، ومطلب دم امرئ بغير حق ليهريق دمه
hadith|58|ابغوني الضعفاء فإنما ترزقون وتنصرون بضعفائكم
hadith|59|أبلغوا حاجة من لا يستطيع إبلاغ حاجته، فمن أبلغ سلطانا حاجة من لا يستطيع إبلاغها ثبت الله تعالى قدميه على الصراط يوم القيامة
hadith|60|ابنوا المساجد واتخذوها جما
hadith|61|ابنوا مساجدكم جما، وابنوا مدائنكم مشرفة
hadith|62|ابنوا المساجد، وأخرجوا القمامة منها: فمن بنى لله بيتا بنى الله له بيتا في الجنة، وإخراج القمامة منها مهور الحور العين
hadith|63|أبن القدح عن فيك ثم تنفس
hadith|64|ابن آدم، أطع ربك تسمى عاقلا، ولا تعصه فتسمى جاهلا
hadith|65|ابن آدم، عندك ما يكفيك، وأنت تطلب ما يطغيك. ابن آدم، لا بقليل تقنع، ولا بكثير تشبع. ابن آدم، إذا أصبحت معافى في جسدك، آمنا في سربك، عندك قوت يومك، فعلى الدنيا العفاء
hadith|66|ابن أخت القوم منهم
hadith|67|ابن السبيل أول شارب - يعني من زمزم
hadith|68|أبو بكر وعمر سيدا كهول أهل الجنة من الأولين والآخرين، إلا النبيين والمرسلين
hadith|69|أبو بكر و عمر مني بمنزلة السمع والبصر من الرأس
hadith|70|أبو بكر خير الناس، إلا أن يكون نبي
hadith|71|أبو بكر صاحبي ومؤنسي في الغار، سدوا كل خوخة في المسجد غير خوخة أبى بكر
hadith|72|أبو بكر مني وأنا منه، وأبو بكر أخي في الدنيا والآخرة
hadith|73|أبو بكر في الجنة، وعمر في الجنة، وعثمان في الجنة، وعلي في الجنة، وطلحة في الجنة، والزبير في الجنة، وعبد الرحمن بن عوف في الجنة، وسعد بن أبي وقاص في الجنة، وسعيد بن زيد في الجنة، وأبو عبيدة بن الجراح في الجنة
hadith|74|أبو سفيان بن الحارث سيد فتيان أهل الجنة
hadith|75|أتاكم أهل اليمن، هم أضعف قلوبا، وأرق أفئدة، الفقه يمان، والحكمة يمانية
hadith|76|أتاني جبريل بالحمى والطاعون، فأمسكت الحمى بالمدينة، وأرسلت الطاعون إلى الشام. فالطاعون شهادة لأمتي ورحمة لهم، ورجس على الكافرين
hadith|77|أتاني جبريل فقال: بشر أمتك أنه من مات لا يشرك بالله شيئا دخل الجنة. قلت: يا جبريل وإن سرق وإن زنى، قال: نعم، قلت: وإن سرق وإن زنى، قال: نعم، قلت: وإن سرق وإن زنى، قال: نعم وإن شرب الخمر
hadith|78|أتاني جبريل فبشرني أنه من مات من أمتك لا يشرك بالله شيئا دخل الجنة، فقلت: وإن زنى وإن سرق، قال: وإن زنى وإن سرق
hadith|79|أتاني جبريل فقال: يا محمد كن عجاجا ثجاجا
hadith|80|أتاني جبريل فقال: يا محمد كن عجاجا بالتلبية. ثجاجا بنحر البدن
